teacher_id,student_id,academic_level,job_satisfaction,salary_satisfaction,students_performance_impact
1,1,Doctorate,Low,High,84.0
2,2,Doctorate,High,Moderate,52.2
3,3,Bachelor's,Moderate,Low,60.0
4,4,Bachelor's,High,High,86.8
5,5,Master's,High,High,62.9
6,6,Doctorate,Low,Moderate,73.7
7,7,Master's,Moderate,Low,91.9
8,8,Doctorate,Moderate,Low,50.7
9,9,Doctorate,High,High,68.8
10,10,Doctorate,Moderate,Low,62.6
11,11,Master's,Low,High,58.5
12,12,Bachelor's,Low,High,58.0
13,13,Bachelor's,High,High,52.3
14,14,Bachelor's,Moderate,Moderate,99.4
15,15,Master's,High,High,99.3
16,16,Doctorate,Low,Moderate,59.3
17,17,Bachelor's,Low,Moderate,61.8
18,18,Master's,Moderate,Moderate,93.9
19,19,Doctorate,High,High,59.2
20,20,Master's,High,Low,71.8
21,21,Bachelor's,High,High,86.6
22,22,Master's,Low,Moderate,70.5
23,23,Doctorate,Moderate,Moderate,90.7
24,24,Bachelor's,Moderate,Moderate,92.3
25,25,Bachelor's,Moderate,High,53.0
26,26,Master's,Moderate,Moderate,61.2
27,27,Doctorate,Moderate,Low,67.6
28,28,Master's,Low,High,88.4
29,29,Master's,Low,High,56.0
30,30,Bachelor's,High,Moderate,98.8
31,31,Master's,Low,High,51.1
32,32,Doctorate,Low,Moderate,99.9
33,33,Master's,High,Moderate,97.8
34,34,Doctorate,Moderate,High,61.2
35,35,Bachelor's,Low,Low,89.9
36,36,Master's,Moderate,High,89.6
37,37,Bachelor's,Moderate,Low,59.1
38,38,Bachelor's,High,High,70.0
39,39,Master's,Moderate,Low,80.5
40,40,Master's,Low,Low,89.0
41,41,Doctorate,High,High,51.0
42,42,Doctorate,Moderate,High,68.0
43,43,Bachelor's,Moderate,High,68.7
44,44,Master's,High,Moderate,89.5
45,45,Master's,Low,Moderate,80.6
46,46,Doctorate,High,Moderate,85.7
47,47,Bachelor's,High,High,61.7
48,48,Doctorate,High,Moderate,52.3
49,49,Master's,High,Low,50.6
50,50,Bachelor's,Moderate,Moderate,95.0
51,51,Master's,Moderate,High,69.1
52,52,Doctorate,High,High,63.2
53,53,Master's,Moderate,High,81.3
54,54,Bachelor's,Moderate,Moderate,57.5
55,55,Bachelor's,Moderate,High,87.6
56,56,Bachelor's,Moderate,High,68.8
57,57,Master's,Moderate,Low,74.4
58,58,Bachelor's,Low,Moderate,67.9
59,59,Bachelor's,Low,Moderate,66.3
60,60,Doctorate,Moderate,Low,66.0
61,61,Doctorate,Low,Moderate,71.6
62,62,Doctorate,Moderate,Low,78.8
63,63,Doctorate,High,Low,99.1
64,64,Doctorate,High,High,74.3
65,65,Master's,Low,Low,94.2
66,66,Bachelor's,High,Low,62.0
67,67,Bachelor's,High,High,68.0
68,68,Master's,High,Moderate,87.3
69,69,Bachelor's,Moderate,High,51.9
70,70,Doctorate,Moderate,Moderate,52.6
71,71,Master's,Moderate,Low,52.8
72,72,Doctorate,High,Low,64.2
73,73,Master's,Low,Low,57.4
74,74,Doctorate,Moderate,Low,52.8
75,75,Doctorate,High,High,59.1
76,76,Bachelor's,High,High,80.1
77,77,Master's,High,Low,93.2
78,78,Doctorate,Low,High,57.9
79,79,Master's,High,Moderate,99.9
80,80,Doctorate,Low,Moderate,65.9
81,81,Bachelor's,Moderate,Moderate,65.7
82,82,Doctorate,High,Moderate,98.8
83,83,Doctorate,Low,Moderate,94.0
84,84,Master's,Moderate,High,89.8
85,85,Master's,High,Low,95.7
86,86,Bachelor's,High,Low,62.7
87,87,Bachelor's,High,Low,59.8
88,88,Doctorate,Low,Low,61.9
89,89,Master's,High,Moderate,60.4
90,90,Master's,Moderate,High,71.7
91,91,Master's,Moderate,High,64.4
92,92,Bachelor's,Moderate,Low,91.6
93,93,Bachelor's,High,High,65.0
94,94,Master's,Low,Low,60.2
95,95,Doctorate,High,Low,59.9
96,96,Doctorate,Low,High,79.9
97,97,Doctorate,Moderate,Moderate,92.8
98,98,Doctorate,High,Moderate,70.1
99,99,Bachelor's,Low,High,64.7
100,100,Doctorate,High,Moderate,94.0
101,101,Master's,High,Moderate,99.1
102,102,Doctorate,Moderate,High,70.6
103,103,Doctorate,High,Low,58.0
104,104,Doctorate,High,High,95.4
105,105,Master's,Moderate,High,52.8
106,106,Bachelor's,Moderate,Low,96.5
107,107,Doctorate,Moderate,Low,53.6
108,108,Bachelor's,High,Low,91.6
109,109,Bachelor's,Low,Moderate,78.0
110,110,Master's,High,High,82.7
111,111,Master's,Moderate,Low,64.3
112,112,Bachelor's,Low,Moderate,63.8
113,113,Master's,High,Low,83.0
114,114,Doctorate,Moderate,Moderate,98.4
115,115,Bachelor's,High,Moderate,96.9
116,116,Bachelor's,High,High,93.2
117,117,Master's,Low,High,87.3
118,118,Doctorate,Moderate,Low,52.0
